date,code,name,amount,cost,top_cost,low_cost,middle_cost
2020-11-14,104,갈치,2980.7,39662000,32000,1500,4400
2020-11-15,104,갈치,2980.7,39662000,32000,1500,4400
2020-11-16,104,갈치,3980.6,44313000,33000,1500,3562.5
2020-11-17,104,갈치,3778.9,38318000,29000,1100,7500
2020-11-18,104,갈치,1631.1,25407000,28000,3333,11500
2020-11-19,104,갈치,1145,17480000,31000,1500,10650
2020-11-20,104,갈치,643.3,12783000,33333,3833,20000
2020-11-21,104,갈치,718.5,16488000,35000,7500,26000
2020-11-22,104,갈치,718.5,16488000,35000,7500,26000
2020-11-23,104,갈치,4422.3,29071000,38400,100,6500
2020-11-24,104,갈치,1885.4,36705000,33333,6600,15361
2020-11-25,104,갈치,2021.1,35853000,34782,5000,5789
2020-11-26,104,갈치,1924.9,30663000,39393,3833,22000
2020-11-27,104,갈치,2723.3,40737000,37500,2250,5000
2020-11-28,104,갈치,3003.8,44672000,32000,4000,11050
2020-11-29,104,갈치,3003.8,44672000,32000,4000,11050
2020-11-30,104,갈치,4926.5,47240000,30000,1700,12500
2020-12-01,104,갈치,3379.3,28311000,30000,800,3250
2020-12-02,104,갈치,2943.9,24422000,33333,1750,10583
2020-12-03,104,갈치,3283,38891000,34375,2833,21200
2020-12-04,104,갈치,4070.4,27681000,33750,50,10000
2020-12-05,104,갈치,1639.8,21174000,40000,1000,7666
2020-12-06,104,갈치,1639.8,21174000,40000,1000,7666
2020-12-07,104,갈치,3387,49921000,36000,1000,9000
2020-12-08,104,갈치,3304.1,55609000,33333,3666,12666
2020-12-09,104,갈치,3330.3,49837000,350000,2500,13666.5
2020-12-10,104,갈치,1773.9,32805000,30000,4166,13986
2020-12-11,104,갈치,2534.5,38550000,30000,2400,5684
2020-12-12,104,갈치,1665.5,23538000,26000,2666,12250
2020-12-13,104,갈치,1665.5,23538000,26000,2666,12250
2020-12-14,104,갈치,5203,39945500,35000,1250,13015
2020-12-15,104,갈치,2505.9,35685000,30188,1800,6325
2020-12-16,104,갈치,1285.6,15932000,26000,2833,11250
2020-12-17,104,갈치,5595.5,35122000,29000,1250,3500
